node1,node2
0,11
0,17
1,9
1,11
1,12
1,13
1,17
2,9
2,12
2,17
2,24
3,9
3,11
3,26
3,31
4,11
4,12
4,17
4,19
4,26
6,0
6,17
6,32
7,1
7,9
7,11
7,12
7,14
7,17
7,19
7,26
7,31
8,0
8,4
8,11
8,17
8,32
9,11
9,12
9,17
10,9
10,11
10,13
10,17
10,24
10,29
10,31
15,1
15,9
15,11
15,13
15,17
15,31
16,9
17,11
17,12
17,13
18,13
20,12
20,19
21,9
21,11
21,12
21,17
21,26
21,30
23,2
23,5
23,9
23,11
23,12
23,17
23,24
23,31
23,32
23,34
24,9
24,11
24,13
24,17
25,9
25,11
25,13
25,14
25,17
25,29
27,4
27,11
27,22
28,2
28,9
28,11
28,13
28,14
28,24
28,31
29,12
29,13
30,9
30,12
32,9
32,13
32,24
33,9
33,11
33,12
33,13
33,17
33,19
34,1
34,5
34,9
34,11
34,12
34,13
34,17
34,24
34,31
